,tconst,primaryTitle,startYear,ordering,nconst,characters,primaryName,birthYear
82466,tt0085244,The Big Chill,1983,4.0,nm0000458,"[""Nick""]",William Hurt,1950
82467,tt0092699,Broadcast News,1987,1.0,nm0000458,"[""Tom Grunick""]",William Hurt,1950
82468,tt0107613,Mr. Wonderful,1993,4.0,nm0000458,"[""Tom""]",William Hurt,1950
82469,tt0185284,Do Not Disturb,1999,1.0,nm0000458,"[""Walter""]",William Hurt,1950
82470,tt0425308,Noise,2007,2.0,nm0000458,"[""Mayor Schneer""]",William Hurt,1950
82471,tt0479275,Beautiful Ohio,2006,1.0,nm0000458,"[""Mr. Messerman""]",William Hurt,1950
82479,tt0085254,Blue Skies Again,1983,1.0,nm0002122,"[""Sandy""]",Harry Hamlin,1951
82480,tt0253688,Shoot or Be Shot,2002,2.0,nm0002122,"[""Jack Yeager""]",Harry Hamlin,1951
82481,tt3294732,Director's Cut,2016,3.0,nm0002122,"[""Godfrey Winters"",""Himself""]",Harry Hamlin,1951
82482,tt0085254,Blue Skies Again,1983,2.0,nm0000211,"[""Liz""]",Mimi Rogers,1956
82483,tt0091159,Gung Ho,1986,4.0,nm0000211,"[""Audrey""]",Mimi Rogers,1956
82484,tt0118655,Austin Powers: International Man of Mystery,1997,4.0,nm0000211,"[""Mrs. Kensington""]",Mimi Rogers,1956
82485,tt4443838,Weepah Way for Now,2015,3.0,nm0000211,"[""Lynn""]",Mimi Rogers,1956
82498,tt3982060,Cleopatra Backstage,2015,1.0,nm0346416,"[""Elyse"",""Cleopatra""]",Pamela Guest,1950
82500,tt0085334,A Christmas Story,1983,1.0,nm0082526,"[""Ralphie""]",Peter Billingsley,1971
82501,tt0090948,The Dirt Bike Kid,1985,1.0,nm0082526,"[""Jack Simmons""]",Peter Billingsley,1971
82502,tt0096918,Beverly Hills Brats,1989,1.0,nm0082526,"[""Scooter""]",Peter Billingsley,1971
82504,tt0085334,A Christmas Story,1983,2.0,nm0227039,"[""Mother Parker""]",Melinda Dillon,1939
82505,tt0093148,Harry and the Hendersons,1987,2.0,nm0227039,"[""Nancy Henderson""]",Melinda Dillon,1939
82516,tt0085337,Vai alla grande,1983,1.0,nm0055558,"[""Karen""]",Lara Wendel,1965
82517,tt0085337,Vai alla grande,1983,2.0,nm0161919,\N,Massimo Ciavarro,1957
82530,tt0085346,Class,1983,2.0,nm0000507,"[""Skip""]",Rob Lowe,1964
82531,tt0090583,About Last Night...,1986,1.0,nm0000507,"[""Danny""]",Rob Lowe,1964
